"","EMD_CD","EMD_ENG_NM","EMD_KOR_NM","id"
"1","1111010100","Cheongun-dong","청운동",1
"2","1111010200","Singyo-dong","신교동",2
"3","1111010300","Gungjeong-dong","궁정동",3
"4","1111010400","Hyoja-dong","효자동",4
"5","1111010500","Changseong-dong","창성동",5
"6","1111010600","Tongui-dong","통의동",6
"7","1111010700","Jeokseon-dong","적선동",7
"8","1111010800","Tongin-dong","통인동",8
"9","1111010900","Nusang-dong","누상동",9
"10","1111011000","Nuha-dong","누하동",10
"11","1111011100","Ogin-dong","옥인동",11
"12","1111011200","Chebu-dong","체부동",12
"13","1111011300","Pirun-dong","필운동",13
"14","1111011400","Naeja-dong","내자동",14
"15","1111011500","Sajik-dong","사직동",15
"16","1111011600","Doryeom-dong","도렴동",16
"17","1111011700","Dangju-dong","당주동",17
"18","1111011800","Naesu-dong","내수동",18
"19","1111011900","Sejongno","세종로",19
"20","1111012000","Sinmunno 1(il)-ga","신문로1가",20
"21","1111012100","Sinmunno 2(i)-ga","신문로2가",21
"22","1111012200","Cheongjin-dong","청진동",22
"23","1111012300","Seorin-dong","서린동",23
"24","1111012400","Susong-dong","수송동",24
"25","1111012500","Junghak-dong","중학동",25
"26","1111012600","Jongno 1(il)-ga","종로1가",26
"27","1111012700","Gongpyeong-dong","공평동",27
"28","1111012800","Gwanhun-dong","관훈동",28
"29","1111012900","Gyeonji-dong","견지동",29
"30","1111013000","Waryong-dong","와룡동",30
"31","1111013100","Gwonnong-dong","권농동",31
"32","1111013200","Unni-dong","운니동",32
"33","1111013300","Ikseon-dong","익선동",33
"34","1111013400","Gyeongun-dong","경운동",34
"35","1111013500","Gwancheol-dong","관철동",35
"36","1111013600","Insa-dong","인사동",36
"37","1111013700","Nagwon-dong","낙원동",37
"38","1111013800","Jongno 2(i)-ga","종로2가",38
"39","1111013900","Palpan-dong","팔판동",39
"40","1111014000","Samcheong-dong","삼청동",40
"41","1111014100","Anguk-dong","안국동",41
"42","1111014200","Sogyeok-dong","소격동",42
"43","1111014300","Hwa-dong","화동",43
"44","1111014400","Sagan-dong","사간동",44
